MOF,water stability description,source,label
JOU-12,"Both JOU-11 and JOU-12 can be stable in a mixed solution of DMF/water (V/V, 2:1) over 24 h. As the concentration of water increased, the position and intensity of the emission band mainly remain unchanged. ",10.1021/acs.inorgchem.0c02760,3
[Eu(BCB)(DMF)]﹞(DMF)1.5(H2O)2,"Compound 1 can also be recovered easily after the detection of I? by washing with water . The PXRD spectra confirm that the framework of compound 1 was not destroyed during the quenching process . These results indicate that compound 1 is stable in aqueous solution and can be recycled for the detection of I? anions. All the above results demonstrate compound 1 is an excellent recyclable luminescent sensor for the detection of I? in water with high selectivity and sensitivity. 
",10.1039/D1DT02312H,3
[Cd2(L1)(1-4-NDC)2]n ,"To evaluate the chemical stability of the frameworks, the PXRD patterns of the samples after treating with various pH conditions for 48 h or soaking in aqueous solutions with different times were recorded at room temperature. Although the samples subjected such harsh chemical environment, its PXRD patterns were almost identical to those of the original samples . The integrity of the frameworks was well maintained after different pH (pH = 3~13) and long term water treatment, indicating excellent pH stability and water stability of the Cd(II) complexes.",10.1039/C9CE01546A,3
[Cd(L2)(1-4-NDC)]n ,"To evaluate the chemical stability of the frameworks, the PXRD patterns of the samples after treating with various pH conditions for 48 h or soaking in aqueous solutions with different times were recorded at room temperature. Although the samples subjected such harsh chemical environment, its PXRD patterns were almost identical to those of the original samples . The integrity of the frameworks was well maintained after different pH (pH = 3~13) and long term water treatment, indicating excellent pH stability and water stability of the Cd(II) complexes.",10.1039/C9CE01546A,3
1909467,"checked the stability of compound 1 by soaking ground crystals in an aqueous solution of chromate, per-manganate and phosphate for 24 h in three separate experiments. Thereafter, the well-filtered and dried powders were ground well, and powder X-ray diffraction experiments were performed using Cu K汐 radiation. The powder XRD pattern was found to be well matched with the simulated PXRD pattern of compound 1a.",10.1039/C9DT04220B,3
2050360,"The powdered sample of 1 was immersed in an aqueous solution of Al3+, Cr3+ and Fe3+ ions and dried. The PXRD patterns were recorded for 1 in the presence of Al3+, Cr3+ and Fe3+ ions. Then its PXRD patterns were compared with the simulated one obtained from the single-crystal X-ray data. The measured PXRD patterns are well consistent with the simulated ones.",10.1039/D1DT00729G,3
1538770,"Chemical stability of the 1 and 2 in  water,  different  organic  solvents  and  aqueous  solution  of  CrO42-,  Cr2O72-  /  Fe3+,  Pd2+  were  also established by soaking the MOFs into respective media for 72 hours and then analyzing by PXRD, FTIR and FE-SEM techniques. Comparison of PXRD data of the dried samples after soaking in different organicsolvents is shown in Figure S2e-f. PXRD and FTIR analysis clearly demonstrate that the chemical stability and structural integrity of both LOMFs retains in aqueous solution of chromate oxyanions as well as Fe3+and Pd2+ .",10.1021/acs.inorgchem.7b01130,3
1538771,"Chemical stability of the 1 and 2 in  water,  different  organic  solvents  and  aqueous  solution  of  CrO42-,  Cr2O72-  /  Fe3+,  Pd2+  were  also established by soaking the MOFs into respective media for 72 hours and then analyzing by PXRD, FTIR and FE-SEM techniques. Comparison of PXRD data of the dried samples after soaking in different organicsolvents is shown. PXRD and FTIR analysis clearly demonstrate that the chemical stability and structural integrity of both LOMFs retains in aqueous solution of chromate oxyanions as well as Fe3+and Pd2+ .",10.1021/acs.inorgchem.7b01130,3
1969898," The sample of 1 and 2 can be promptly regenerated after repeated washing with water and ethanol. The PXRD patterns of the five recovered sample are matching to as-synthesized 1 and 2 . The results prove that 1 and 2 exhibits outstanding anti-interferent ability and reusability. The results prove that 1 and 2 exhibits outstanding anti-interferent ability and reusability. The consequences demonstrate that 1 and 2 are stabilized in ethanol and water, respectively, and the reliability of our work.",10.1016/j.jssc.2020.121604,3
1990718," The sample of 1 and 2 can be promptly regenerated after repeated washing with water and ethanol. The PXRD patterns of the five recovered sample are matching to as-synthesized 1 and 2 . The results prove that 1 and 2 exhibits outstanding anti-interferent ability and reusability. The results prove that 1 and 2 exhibits outstanding anti-interferent ability and reusability. The consequences demonstrate that 1 and 2 are stabilized in ethanol and water, respectively, and the reliability of our work.",10.1016/j.jssc.2020.121604,3
[Dy(TCPB)(DMF)3]n,"To test the structural stability of Dy-TCPB and Sm-TCPB in aqueous solution, we soaked them in water for 48?h . The PXRD data show that the diffraction peaks after immersion in water for 48?h are consistent with the simulated peaks, conforming the great water stability of Dy-TCPB and Sm-TCPB.",10.1002/chem.201905027,3
[Sm(TCPB)(DMF)3]n,"To test the structural stability of Dy-TCPB and Sm-TCPB in aqueous solution, we soaked them in water for 48?h . The PXRD data show that the diffraction peaks after immersion in water for 48?h are consistent with the simulated peaks, conforming the great water stability of Dy-TCPB and Sm-TCPB.",10.1002/chem.201905027,3
 {Mn(Tipp)(A)2}n﹞2H2O,"PXRD patterns of TippMn immersed overnight in commonly used solvents and water with different pH values (2.0每12.0) were also recorded, and the obtained patterns retain consistencies with the simulated pattern.",10.1021/acs.inorgchem.1c01226,3
[Zn(L)0.5(NDC)]n,"The Zn-MOF exhibits excellent chemical stabilities in water, acidic and basic solutions with wide pH ranges of 3?12, and common organic solvents, verified by PXRD analysis.",10.1016/j.inoche.2023.111247,3
Sm-MOF,"IR spectra are used to support the structure information and chemical stability of the Sm-MOF . In brief, Sm-MOF was dispersed in pH 3每7 aqueous solution for three days, filtered and dried in air. The broad bands between 3650 and 2700 cm?1 for Sm-MOF before and after treatment by water, ascribing to the stretching bands of O每H, indicate the existence and pH stability of coordinated water molecules. ",10.1016/j.dyepig.2020.108347,3
Tb-MOF,"The environmental and thermal stability are further evaluated by soaking Tb-MOF in aqueous solution with different pH values (pH = 2, 7 and 12) or heating Tb-MOF at 100 ～C for two hours. As demonstrated , Tb-MOF samples recovered from various aqueous solutions or heated at 100 ～C have the same PXRD diffraction peaks as those of the pristine one, meaning good environmental and thermal stability. ",10.1002/zaac.201900271,3
{[Zn(4-4∩-AP)(5-AIA)]. (DMF)0.5}n,"The PXRD pattern of compound 1 was collected after soaking the compound in water and some organic solvents . The pattern was matching with the simulated one, indicating the structural stability in water and some organic solvents. The ICP-AES data of the supernatant were also collected after 24 h soaking in water, and it was found that compound 1 was stable without degradation.",10.1021/acs.inorgchem.8b02898,3
L-Zn,"CPs were suspended in buffer solutions of varying pH (4, 5, 6, 9 and 10) for 24?h. Subsequently, CPs were isolated by filtration, washed with water and vacuum dried before analysing by FTIR spectral and PXRD studies. For both CPs, negligible changes in their FTIR spectra and PXRD patterns (using L?Cd as a representative case; ) asserted their structural stability under different pHs.",10.1002/asia.201901142,3
L-Cd,"CPs were suspended in buffer solutions of varying pH (4, 5, 6, 9 and 10) for 24?h. Subsequently, CPs were isolated by filtration, washed with water and vacuum dried before analysing by FTIR spectral and PXRD studies. For both CPs, negligible changes in their FTIR spectra and PXRD patterns (using L?Cd as a representative case; ) asserted their structural stability under different pHs.",10.1002/asia.201901142,3
Eu-CP,"1 can be simply and quickly regenerated and reused at least five times . Fortunately, the PXRD pattern reveals that the framework is still stable after five cycles or 12 h of immersing in aqueous solution.",10.1039/C8DT01518J,3
1975234,"After five sensing experiments, the luminescent intensity of compound 4 was close to the initial luminescent intensity, and it has a good detection effect with MnO4每. Meanwhile, the same method was utilized to research the cycle of arginine detection by compounds 1 and 4. Similar results were obtained by repeating the cycle five times. This shows that compounds 1 and 4 have good repeatability . The results show that compounds 1 and 4 have good recyclability and stability as a luminescent sensor of arginine or MnO4每.",10.1021/acs.inorgchem.0c00236,3
1975237,"After five sensing experiments, the luminescent intensity of compound 4 was close to the initial luminescent intensity, and it has a good detection effect with MnO4每. Meanwhile, the same method was utilized to research the cycle of arginine detection by compounds 1 and 4. Similar results were obtained by repeating the cycle five times. This shows that compounds 1 and 4 have good repeatability . The results show that compounds 1 and 4 have good recyclability and stability as a luminescent sensor of arginine or MnO4每.",10.1021/acs.inorgchem.0c00236,3
MOF1,MOF1 shows selective sensitivity to detecting aniline pollutants in both aqueo.The prepared MOF1 exhibits various light emissions when exposed to aromatic amines both in aqueous solution and as gases.The prepared MOF1 exhibits various light emissions when exposed to aromatic amines both in aqueous solution and as gases.,10.1002/ejic.201402770,3
{[Cd3(TDCPB)﹞2DMAc]﹞DMAc﹞4H2O}n," The solvent form of 1 at room temperature was measured by PXRD and was nearly identical with the simulated pattern from single-crystal X-ray data analysis, proving the purity phase of the vast crystals; meanwhile, the as-synthesized sample can maintain its original skeleton structure after exposure to air for 1 month. The PXRD patterns of the as-synthesized sample after immersion in common organic solvents for 1 day can be maintained very well, proving high stability in these solvents ",10.1021/acs.inorgchem.9b03032,3
PCN-300-1,"To validate the chemical stability of PCN-300, it was immersed in a series of aqueous solutions with pH values ranging from 1 to 14. According to the powder X-ray diffraction (PXRD) results, the crystallinity of PCN-300 can be partially maintained even under the harsh conditions of pH = 1 or 14 , demonstrating its robustness. ",10.1021/jacs.4c03038,3
PCN-300-2,"To validate the chemical stability of PCN-300, it was immersed in a series of aqueous solutions with pH values ranging from 1 to 14. According to the powder X-ray diffraction (PXRD) results, the crystallinity of PCN-300 can be partially maintained even under the harsh conditions of pH = 1 or 14 , demonstrating its robustness. ",10.1021/jacs.4c03038,3
Su1,"PXRD analysis of 1每2 in different pH aqueous solutions, hot water, cold water, etc., demonstrate their strong resistance to moisture and excellent pH stability (pH = 4每11 for 1 and pH = 3每12 for 2).",10.1039/d1ce01447a,3
Su2,"PXRD analysis of 1每2 in different pH aqueous solutions, hot water, cold water, etc., demonstrate their strong resistance to moisture and excellent pH stability (pH = 4每11 for 1 and pH = 3每12 for 2).",10.1039/d1ce01447a,3
Su3,"Remarkably, the Zn-MOF exhibits excellent chemical stabilities in water, acidic and basic solutions with wide pH ranges of 3-12, and common organic solvents, verified by PXRD analysis.",10.1016/j.inoche.2023.111247,3
[Cd2 (L1)(tdc)2 (H2O)]n,"In addition, the stability of the Cd(II ) MOFs in different pH solutions ( pH = 1每14) was also examined. 1 and 2 show high stability in the pH range of 3 to 12.",10.1039/d1dt03205d,3
[Cd(L2)0.5(tdc)]n,"In addition, the stability of the Cd(II ) MOFs in different pH solutions ( pH = 1每14) was also examined. 1 and 2 show high stability in the pH range of 3 to 12.",10.1039/d1dt03205d,3
{[Co2(L)(hfpd)(H2O)]﹞1.75H2O}n,"Time-dependent emission spectra of 1 were measured by dispersion of 1 powder in aqueous solution or ethanol solution , and the results show that 1 owns good dispersion and stability in solutions and the test time has little effect on the emission intensities of 1. In addition, PXRD patterns for 1 powder after time-varying experiments either in aqueous solution or in ethanol solution further confirms that the structure of 1 was kept after immersed in solution.",10.1016/j.inoche.2020.108013,3
MOF-801-SC,Little change in water uptake properties after five adsorption/desorption cycles at 298 K with a two hour activation at 298 K between each cycle.,10.1021/cr5002589,2
M0F-841,Little change in water uptake properties after five adsorption/desorption cycles at 298 K with a two hour activation at 298 K between each cycle.,10.1021/cr5002589,2
MOF-802,Little change in water uptake properties after five adsorption/desorption cycles at 298 K with a two hour activation at 298 K between each cycle.,10.1021/cr5002589,2
FMOF-1,"No water adsorption or structural changes evidenced from isotherm or IR results structural change after exposure to 100% RH air. No water
adsorption or structural changes evidenced from single crystal XRD or IR results after soaking in water for several days.",10.1021/cr5002589,2
DUT-51(Hf),Dried samples soaked in water for 12 hours with no significant loss of crystallinity but minor loss in BET surface area.,10.1021/cr5002589,2
DUT-51(Zr),Dried samples soaked in water for 12 hours with no significant loss of crystallinity but minor loss in BET surface area.,10.1021/cr5002589,2
DUT-67(Zr),No changes to PXRD after dried powder soaked in water for one day or concentrated HCl for three days. PXRD changes under basic conditions.,10.1021/cr5002589,2
MOF-545,"No change in PXRD or BET surface area after activated structures immersed in methanol, water and water:acetic acid (50:50 by vol.) for one day.",10.1021/cr5002589,2
MOF-535,"No change in PXRD or BET surface area after activated structures immersed in methanol, water and water:acetic acid (50:50 by vol.) for one day.",10.1021/cr5002589,2
MOF-801(SC)(ref33),Little change in water uptake properties after five adsorption/desorption cycles at 298 K with a two hour activation at 298 K between each cycle.,10.1021/cr5002589,2
ref47-1,No change in adsorption behavior or PXRD throughout 3x cyclic vapor adsorption measure ments at 298 K.,10.1021/cr5002589,2
ref47-2,No change in adsorption behavior or PXRD throughout 3x cyclic vapor adsorption measure ments at 298 K.,10.1021/cr5002589,2
ref47-3,No change in adsorption behavior or PXRD throughout 3x cyclic vapor adsorption measure ments at 299 K.,10.1021/cr5002589,2
ref47-4,No change in adsorption behavior or PXRD throughout 3x cyclic vapor adsorption measure ments at 300 K.,10.1021/cr5002589,2
ref47-5,No change in adsorption behavior or PXRD throughout 3x cyclic vapor adsorption measure ments at 301 K.,10.1021/cr5002589,2
Zn(L14)(L15),No change in PXRD or vapor adsorption behavior throughout four isotherms of water adsorption and desorption.,10.1021/cr5002589,2
NU-1000,No change in PXRD or BET surface area after one day in liquid water.,10.1021/cr5002589,2
PCN-225(M),"PXRD indicates slight increase in amorphous character, and there is some reduction in BET surface area after soaking in pH 0 to pH 12 aqueous solutions for 12 hours.",10.1021/cr5002589,2
UiO-66,"No change in PXRD after stirring activated sample in water, acetone, benzene and DMF solutions for one day.",10.1021/cr5002589,2
UiO-66-NH2,No change in PXRD after exposure to water or 1M HCl for 2 hours at room temperature. Loss of PXRD after exposure to 1 M basic solution.,10.1021/cr5002589,2
CAU-10-OCH3,No change in PXRD or FTIR after soaking in aqueous solutions of pH 2 - 8 for 18 hours or exposure to water at 130⊥ for three hours.,10.1021/cr5002589,2
CAU-10-CH3,No change in PXRD or FTIR after soaking in aqueous solutions of pH 2 - 8 for 18 hours or exposure to water at 131⊥ for three hours.,10.1021/cr5002589,2
CAU-10-H,No change in PXRD or FTIR after soaking in aqueous solutions of pH 2 - 8 for 18 hours or exposure to water at 132⊥ for three hours.,10.1021/cr5002589,2
Cu-PCN,No decrease in CO2 or N2 capacity and selectivity after as-synthesized material exposed to air at68% RH and 26⊥ for three days.,10.1021/cr5002589,2
Co-NIC,No decrease in CO2 or N2 capacity and selectivity after as-synthesized material exposed to air at68% RH and 27⊥ for three days.,10.1021/cr5002589,2
Eu-Cu,No change in capacity and selectivity for CO2 and N2 after activated sample exposed to 80% RH for 3 days at room temperature.,10.1021/cr5002589,2
La-Cu,No change in capacity and selectivity for CO2 and N2 after activated sample exposed to 80% RH for 4 days at room temperature.,10.1021/cr5002589,2
Al(OH)(1-4-NDC),Normal vapor adsorption/desorption at 298K.,10.1021/cr5002589,2
UiO-66-Br,No change in PXRD after exposure to water or 1 M HCl for 2 hours at room temperature. Loss of PXRD after exposure to 1 M base.,10.1021/cr5002589,2
UiO-67,No change in PXRD after one day in 25⊥ water.,10.1021/cr5002589,2
UTSA-16,No change in CO2 uptake after exposure to air for three days before running 4x CO2 adsorption isotherms at 296 K.,10.1021/cr5002589,2
ZIF-7,No decrease in CO2 or N2 capacity and selectivity after as-synthesized material exposed to air at 68% RH and 26⊥ for three days.,10.1021/cr5002589,2
ZIF-90,No decrease in CO2 or N2 capacity and selectivity after as-synthesized material exposed to air at 68% RH and 27⊥ for three days.,10.1021/cr5002589,2
AlaZnCl,No change in PXRD after six month exposure to 98% RH at room temperature.,10.1021/cr5002589,2
AlaZnOAc,No change in PXRD after six month exposure to 99% RH at room temperature.,10.1021/cr5002589,2
ValZnFor,No change in PXRD after six month exposure to 98% RH at room temperature.,10.1021/cr5002589,2
ValZnCl,No change in PXRD after six month exposure to 99% RH at room temperature.,10.1021/cr5002589,2
Bio-MOF-13,Minor loss in PXRD after being shaken vigorously in 10 mL of water for one hour.,10.1021/cr5002589,2
CUK-1,Sample did not need to be changed after long exposures to humid air.,10.1021/cr5002589,2
DUT-67(Hf),No changes to PXRD after dried powder soaked in water for one day or concentrated HCl for three days. PXRD changes under basic conditions.,10.1021/cr5002589,2
DUT-68(Hf),No changes to PXRD after dried powder soaked in water for one day or concentrated HCl for three days. PXRD changes under basic conditions.,10.1021/cr5002589,2
DUT-68(Zr),No changes to PXRD after dried powder soaked in water for one day or concentrated HCl for three days. PXRD changes under basic conditions.,10.1021/cr5002589,2
DUT-69(Zr),No changes to PXRD after dried powder soaked in water for one day or concentrated HCl for three days. PXRD changes under basic conditions.,10.1021/cr5002589,2
MIL-140 A,No change in PXRD after 15 hours in boiling water.,10.1021/cr5002589,2
MOFF-2,No change in PXRD after water contact angle measurements.,10.1021/cr5002589,2
MOOFOUR-1-Ni,No change in PXRD after one month in air. Some change in PXRD after one month in water. New PXRD peaks after one day in boiling water.,10.1021/cr5002589,2
Zn6(ID--)ref75,"No change in PXRD after soaking in ethanol, acetone, tetrahydrofuran, bezene, toluene, and xylene for one day. Partial loss of PXRD intensities after soaking in water.",10.1021/cr5002589,2
Cd--ref76,No change in PXRD after exposure to 60⊥ water vapor for one day or open air for months.,10.1021/cr5002589,2
Zn2(2-6-NDC)2ref54,No change in PXRD after exposure to 40⊥water vapor for one week.,10.1021/cr5002589,2
Cd(L1)(Cl)(H2O),Normal adsorption/desorption behavior in vapor isotherm.,10.1021/cr5002589,2
Cd(L2)(Cl)(H2O),"Normal adsorption/desorption behavior in vapor
isotherm.",10.1021/cr5002589,2
Cd(L3)(Cl)(H2O)2,"Normal adsorption/desorption behavior in vapor
isotherm.",10.1021/cr5002589,2
Cd2(L2)2(Br)2ref77,"Normal adsorption/desorption behavior in vapor
isotherm.",10.1021/cr5002589,2
Ni(HPTZ)2,"Minor changes to PXRD after as-synthesized sample exposed to boiling water, toluene, and ethanol for one week. Minor changes to PXRD after one day in 0.1 M HCl.",10.1021/cr5002589,2
Zn4O(B--ref80),No change in PXRD after four days in humid conditions.,10.1021/cr5002589,2
Co(L13)2,No change in PXRD after water vapor adsorption isotherm.,10.1021/cr5002589,2
Ni(L13)2,No change in PXRD after water vapor adsorption isotherm.,10.1021/cr5002589,2
NU-1000-SALI-9,No change in PXRD after water vapor isotherm.,10.1021/cr5002589,2
ref84,No change in PXRD after water vapor isotherm.,10.1021/cr5002589,2
PCN-58,Little change in PXRD after pH 2 HCl or water for one day or pH 11 NaOH for 15 hours.,10.1021/cr5002589,2
PCN-57,Little change in PXRD after pH 2 HCl or water for one day or pH 11 NaOH for 16 hours.,10.1021/cr5002589,2
SIFSIX-2-Cu-i,No change in PXRD after exposure to 5% - 95% RH under a nitrogen atmosphere.,10.1021/cr5002589,2
Y-FTZB-MOF,No change in PXRD after soaking in water for one day or performing a water vapor isotherm.,10.1021/cr5002589,2
Tb-FTZB-MOF,No change in PXRD after soaking in water for one day or performing a water vapor isotherm.,10.1021/cr5002589,2
UiO-2-6-NDC,"No change in PXRD after two hours in 0.1 M NaOH or HCl, one day in H2S or water, or one week in MeOH, CHCl3, IPA, or Ter-But-OH.",10.1021/cr5002589,2
UiO-66-Br2,"No change in PXRD after being stirred in water, acetic acid, or 1 M HCl for 12 hours. Complete loss of PXRD after 12 hours in 1 M NaOH.",10.1021/cr5002589,2
UiO-66-Cl2,"No change in PXRD after being stirred in water, acetic acid, or 1 M HCl for 12 hours. Complete loss of PXRD after 12 hours in 2 M NaOH.",10.1021/cr5002589,2
UiO-66-NO2,No change in PXRD after exposure to water or 1M HCl for 2 hours at room temperature. Loss of PXRD after exposure to 1 M base.,10.1021/cr5002589,2
ZIF-11,No change in PXRD after one week in 80⊥ benzene or 65⊥ methanol. New PXRD peaks after three days in boiling water.,10.1021/cr5002589,2
Zn-DMOF-(NO2)2,No change in PXRD after vapor adsorption isotherm.,10.1021/cr5002589,2
Zr-fum,"No change in PXRD after stirring in water, physiological NaCl solution, or phosphate buffered saline solution.",10.1021/cr5002589,2
745475,"To probe the water sensitivity of 1, as-synthesized samples were immersed in water at elevated temperature for various periods of time and the resulting solids were characterized by powder X-ray diffraction . Interestingly, a phase change occurs within minutes of immersing 1 in water heated at 40 ～C, and the resulting pattern is retained during all subsequent manipulations, even after immersion in boiling water for 3 days. The original phase is rapidly regenerated, however, upon re-immersion of this modified phase in DEF for only 3 min.16 The results suggest that no bonds are broken in the framework upon heating in water, and that only a slight, reversible change in its conformation occurs during the treatment.",10.1021/cr5002589,2
946147,"Importantly, chemical stability examinations revealed that these MOFs can not only survive water treatment but also remain intact in dilute acid (pH = 2 solution with HCl) and base (pH = 11 solution with NaOH) for some time.",10.1021/cr5002589,2
2040578,"25 mg of the as-synthesized sample was immersed in various acid/base aqueous solutions with pH values ranging of 2每12 and different boiling solvents for 12 h, respectively. The corresponding PXRD patterns of compound?1?after treated are in agreement with the peak positions of the as-synthesized sample.",10.1021/acs.inorgchem.0c03214,2
2168434,"?Both Zn-MOF-1 and Zn-MOF-2 have shown excellent chemical stability in common laboratory organic solvents [DMF, dimethylacetamide, acetonitrile (ACN), methanol (MeOH), ethanol (EtOH), tetrahydrofuran (THF), dichloromethane (DCM), and CHCl3] and also in an aqueous medium  because, in all of the cases, the PXRD remains the same. In addition, we have investigated the stability after treating the Zn-MOFs within the pH range of 3每10. PXRD analysis suggests that both Zn-MOF-1 and Zn-MOF-2 maintain structural integrity in this pH range?",10.1021/acs.inorgchem.2c01793,2
2168435,"?Both Zn-MOF-1 and Zn-MOF-2 have shown excellent chemical stability in common laboratory organic solvents [DMF, dimethylacetamide, acetonitrile (ACN), methanol (MeOH), ethanol (EtOH), tetrahydrofuran (THF), dichloromethane (DCM), and CHCl3] and also in an aqueous medium  because, in all of the cases, the PXRD remains the same. In addition, we have investigated the stability after treating the Zn-MOFs within the pH range of 3每10. PXRD analysis suggests that both Zn-MOF-1 and Zn-MOF-2 maintain structural integrity in this pH range?",10.1021/acs.inorgchem.2c01793,2
2054352,"50?mg of as-made?CSMCRI-11?was taken in a vial and exposed to common organic solvents (methanol, acetonitrile, dichloromethane, tetrahydrofuran, acetone), and water. Importantly, PXRD patterns of these exposed samples remained unchanged .  by exposing it to saturated water vapours at room temperature. A time-dependent PXRD study up to 10 days was carried out at a regular interval, which revealed maintenance of structural integrity throughout, and substantiates to sufficient hydrolytic stability of the MOF. The stability aspect was further assessed by leaving?11a?in the open air for 15 days. Remarkably, PXRD pattern remained unchanged and corroborates to its high robustness.",10.3389/fchem.2021.651866,2
MOF-801,"We found that two members, MOF-801 and MOF-841, swiftly capture water at well-defined, low relative pressure values and exhibit high uptake, recyclability, and water stability.",10.1021/ja500330a,2
MAF-2,"?Its chemical stability is remarkable.??The microcrystalline powder sample of the guest-free MAF-2 can be handled in air, and its color changes from white to light green after several weeks depending on the humidity, implying the oxidation of Cu(I) in air is promoted by moisture. However, after prolonged exposure, the PXRD pattern of the light-green product still resembles that of MAF-2 (except some peak weakening), implying that the oxidation occurred on the particle surface rather than the pore surface.",10.1021/ja800550a,2
Ni-btz-ht,"the PXRD patterns of narrow-pore materials immersing in the acid or alkali aqueous solutions with different pH values of 1每12 for 20 h were collected . It was found that their frameworks were well-retained, suggesting remarkable chemical stability of synthesized MOFs.",10.1007/s12274-021-3329-8,2
PCN-602(Ni),"Moreover, we also explored the stability of PCN-602(Ni) in 1 M KF, 1 M Na2CO3?and 1 M K3PO4?aqueous solutions, respectively. After soaking PCN-602(Ni) in these solutions for 24 h at RT, PXRD patterns and N2?isotherms of treated samples remained unchanged, demonstrating its excellent stability in these solutions.",10.1021/jacs.6b09463,2
PCN-601,"Chemical stability of PCN-601 was then tested by treating its samples under different conditions. It was found that the PXRD patterns of all treated PCN-601 remain intact, which indicated there was no phase transition or framework collapse during treatments. Additionally, UV每vis adsorption spectra suggested that the ligand of PCN-601 did not leak into DMF solution even when the samples were treated under the harshest conditions, which also proved the intactness of PCN-601 in stability tests.",10.1021/jacs.5b10881,2
Co-btz-ht,"the PXRD patterns of narrow-pore materials immersing in the acid or alkali aqueous solutions with different pH values of 1每12 for 20 h were collected . It was found that their frameworks were well-retained, suggesting remarkable chemical stability of synthesized MOFs.",10.1007/s12274-021-3329-8,2
[(CH3)2NH2]2[Tb6(m3OH)8(FTZB)6(H2O)6]﹞(H2O)52,Water    24 h,10.1021/ja401429x,2
Tb-pek-MOF-1,Water at 85 ～C    24 h,10.1021/jacs.5b00450,2
Tb-BTC,water   24 h,10.1021/ic101294s,2
Y-BTC,water   24 h,10.1021/ic101294s,2
Y-pek-MOF-1,Water at 85 ～C     24 h,10.1021/jacs.5b00450,2
[(CH3)2NH2]2[Y6(m3OH)8(FTZB)6(H2O)6]﹞(H2O)52,Water     24 h,10.1021/ja401429x,2
USTC-8(In),Aqueous solution (pH = 0每11)     12 h,10.1021/acscatal.8b00764,2
ISO-NU-1000,Water    24 h,10.1021/jacs.2c12362,2
NU-1100,Water    24 h,10.1002/chem.201402895,2
[Zn(ZnOH)4(bibta)3]," Nevertheless, the material is stable to ambient conditions and maintains its CO2 uptake capacity in single component isotherm measurements after exposure to air for extended periods of time.",10.1021/jacs.8b06109,2
SIFSIX-3-Cu,SIFSIX-3-Cu is a recyclable and moisture stable MOFs as inferred from the PXRD performed on associated samples after at least four cycles of CO2 adsorption and breakthrough runs under dry and humid conditions (74% RH).,10.1038/ncomms5228,2
dptz-CuTiF6,"Sorption measurements  PXRD and sorption analyses (N2?at 77 K and CO2?at 298 K) after water adsorption-desorption cycle experiments (p/p0?= 0.05每0.9, 10 cycles)  confirmed that the CO2?uptakes were minimally affected by moisture exposure for activated dptz-CuTiF6, whereas dptz-CuSiF6?was found to be unstable when exposed to moisture.",10.1016/j.chempr.2019.02.007,2
TIFSIX-3-Co,Moisture-stable,10.1007/s40843-020-1471-0,2
GeFSIX-3-Ni,Moisture-stable,10.1039/D0CC03196H,2
CSMCRI-3,"Further, the as-synthesized crystals were left in open air for a prolonged time (1 month), and the PXRD patterns indicated no loss of crystallinity. The chemical stability of CSMCRI-3 was attempted upon soaking in weakly basic and acidic aqueous solution, respectively, at room temperature for 1 day. The PXRD patterns of the MOF samples match that of pristine sample , indicating that CSMCRI-3 is stable under these tested conditions.",10.1021/acsami.9b15179,2
ee-2-Mg2(dobpdc),"The mixture selectivity of ee-2每Mg2(dobpdc) was then evaluated through breakthrough experiments under humidified gas feeds. With simulated associated gas (7 bar, 10% CO2 in CH4, 30 ～C, 300 sccm), a five-fold increase in the CO2 breakthrough volume and elimination of the CO2 slip were observed in the second cycle of a feed at 55% relative humidity (RH) as compared to a dry feed (activation performed at 30 ～C with a vacuum pressure of 0.02 mbar between cycles). The relative humidity level of 55% corresponds to the inflection point in the single-component H2O isotherms of ee-2每Mg2(dobpdc) , suggesting that the material shows strong CO2 capture performance even at conditions approaching H2O saturation.",10.1039/D2SC03570G,2
Al(HCOO)3,"Humidity studies were conducted on ALF samples made from as-made Al(HCOO)3 (100 mg) samples that were activated for 24 hours at 180～C (453 K). Each ALF sample during the humidity stability studies was exposed to 85% humid water at 85～C (85/85) for time periods in between 1 and 24 hours in a Labec QHT-30 temperature and humidity chamber with a RH range of 25 to 98% and a temperature range of 20～ to 120～C. After completion of respective exposure times (1 to 24 hours), each sample was then analyzed with PXRD, TGA, and CO2 sorption tests.",10.1126/sciadv.ade1473,2
NOTT-140,The fully desolvated framework NOTT-140a was prepared by soaking the crystals in acetone for 3 days followed by heating at 100 1C and 1010 bar for 1 day. PXRD indicates that NOTT-140 remains intact after desolvation to NOTT-140a .,10.1039/C1CC10378D,2
MOF-808-Gly,"MOF samples were loaded in a packed bed, and a stream of CO2-containing gas mixture was passed through the sorbent and analyzed by GC. Normalized breakthrough curves of MOF-808, MOF-808-FR, and MOF-808-Gly are overlaid to compare the behavior of the sorbents with or without humidity (RH 15%, 25 ～C,). Both MOF-808 and MOF-808-FR exhibited no significant change or a slightly earlier breakthrough time upon humidification of the stream. In contrast, MOF-808-Gly exhibited a significant delay of the breakthrough, corresponding to an increased uptake in the presence of humidity. This is in line with the increased uptake observed in the binary adsorption isotherm study.",10.1021/jacs.1c13368,2
